,name,html_url,description,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,license,topics,default_branch
72,nbviewer.org-deploy,https://github.com/jupyter/nbviewer.org-deploy,Deployment files for nbviewer.jupyter.org,,110,2,2,Python,7,1,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}",[],master
73,papyri,https://github.com/jupyter/papyri,,,5456,60,60,Python,11,47,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}","['closember', 'hacktoberfest', 'python']",main
74,distinguished-contributors,https://github.com/jupyter/distinguished-contributors,Jupyter Distinguished Contributors,,8,4,4,,6,1,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
75,security,https://github.com/jupyter/security,,,152,11,11,,6,20,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
76,notebook-team-compass,https://github.com/jupyter/notebook-team-compass,Team Compass for the Jupyter Notebook subproject,https://jupyter-notebook-team-compass.readthedocs.io/en/latest/,58,3,3,,4,5,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
77,notebook_shim,https://github.com/jupyter/notebook_shim,A shim layer for notebook traits and config,,30,3,3,Python,8,2,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
78,try-jupyter,https://github.com/jupyter/try-jupyter,"A JupyterLite deployment to try JupyterLab, Jupyter Notebook and IPython in the browser",https://jupyter.org/try-jupyter,39963,4,4,Jupyter Notebook,10,2,,"['ipython', 'jupyter', 'jupyterlab']",main
79,team-compass-template,https://github.com/jupyter/team-compass-template,A template for team-compass repositories,,46,0,0,Python,2,1,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
80,kernels-team-compass,https://github.com/jupyter/kernels-team-compass,The team-compass for the Jupyter Kernels Subproject,https://kernels-team-compass.readthedocs.io/en/latest/,22,2,2,,2,0,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
81,jupyter_events,https://github.com/jupyter/jupyter_events,Configurable event system for Jupyter applications and extensions.,https://jupyter-events.readthedocs.io/en/latest/,320,4,4,Python,5,1,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
